trial_id,fps,used_autotrim,model_distance_3d_units,model_distance_ground_units,median_height_units,median_wrist_units,distance_by_height,true_height_m,tape_distance_m,scale_by_height,cal_h_distance_3d_m,cal_h_distance_ground_m,cal_h_wrist_m,scale_by_tape,cal_tape_distance_3d_m,cal_tape_distance_ground_m,cal_tape_wrist_m
3m_towards_camera01,5,TRUE,1.7735,1.7681,0.9902,0.2605,1.7856,1.53,3,1.54509,2.7402,2.7319,0.4026,1.69672,3.0091,3,0.4421
3m_towards_camera02,5,TRUE,6.3595,6.3459,1.1703,0.4253,5.4224,1.53,3,1.30733,8.314,8.2962,0.5561,0.47275,3.0064,3,0.2011
3m_towards_camera03,5,TRUE,5.7556,5.7481,1.1194,0.38,5.1348,1.53,3,1.36675,7.8665,7.8563,0.5194,0.52191,3.0039,3,0.1983
3m_towards_camera04,5,TRUE,6.1843,6.1721,1.1228,0.3499,5.4969,1.53,3,1.36262,8.4269,8.4102,0.4767,0.48606,3.0059,3,0.1701
3m_towards_camera05,5,TRUE,6.4952,6.4715,1.2485,0.3588,5.1835,1.53,3,1.22548,7.9597,7.9307,0.4397,0.46357,3.011,3,0.1663
2m_towards_camera01,5,TRUE,6.9512,6.9321,1.2741,0.3298,5.4409,1.53,2,1.20088,8.3475,8.3246,0.396,0.28851,2.0055,2,0.0951
2m_towards_camera02,5,TRUE,7.1854,7.1635,1.2683,0.3118,5.6483,1.53,2,1.20637,8.6683,8.6419,0.3762,0.27919,2.0061,2,0.0871
2m_towards_camera03,5,TRUE,7.0954,7.0727,1.2727,0.2855,5.5574,1.53,2,1.2022,8.5301,8.5028,0.3433,0.28278,2.0064,2,0.0807
1m_towards_camera01,5,TRUE,3.0141,3.0138,1.3331,0.4244,2.2608,1.53,1,1.14772,3.4594,3.459,0.4871,0.33181,1.0001,1,0.1408
3m_sidewalk_camera01,5,TRUE,6.7562,6.7368,1.2826,0.3024,5.2525,1.53,3,1.1929,8.0595,8.0364,0.3608,0.44531,3.0086,3,0.1347
3m_sidewalk_camera02,5,TRUE,7.3924,7.3758,1.181,0.3231,6.2454,1.53,3,1.29551,9.5769,9.5554,0.4185,0.40674,3.0067,3,0.1314
3m_towards_camera_run1,5,True,2.1946,2.1904,1.3235,0.512,1.655,1.53,3.0,1.156,2.537,2.5321,0.5919,1.36962,3.0058,3.0,0.7013
3m_towards_camera_run2,5,True,0.1525,0.0775,1.3731,0.5062,0.0564,1.53,3.0,1.11427,0.1699,0.0863,0.5641,38.71906,5.9054,3.0,19.5999
3m_towards_camera_run3,5,True,1.4615,1.458,1.3295,0.5269,1.0966,1.53,3.0,1.15077,1.6818,1.6778,0.6064,2.05762,3.0071,3.0,1.0842
3m_towards_camera_run4,5,True,5.6183,5.6183,1.3221,0.5475,4.2496,1.53,3.0,1.15729,6.502,6.502,0.6336,0.53397,3.0,3.0,0.2923
2m_towards_camera_run1,5,True,2.8659,2.8632,1.349,0.5081,2.1224,1.53,2.0,1.13413,3.2503,3.2472,0.5763,0.69852,2.0019,2.0,0.3549
2m,5,True,2.4511,2.4498,1.3554,0.5219,1.8074,1.53,2.0,1.1288,2.7668,2.7654,0.5891,0.81639,2.0011,2.0,0.4261
